CA1-3 Personal income summary,,,Year: 2011,,
13261,"Sumter, GA",32511,932575,28685,30511
13263,"Talbot, GA",6751,177370,26273,30027
13265,"Taliaferro, GA",1703,47898,28126,24699
13267,"Tattnall, GA",25688,621153,24181,28386
13269,"Taylor, GA",8499,220796,25979,32414
13271,"Telfair, GA",16057,279147,17385,27435
13273,"Terrell, GA",9319,298652,32048,30611
13275,"Thomas, GA",44702,1595292,35687,36212
13277,"Tift, GA",41461,1226626,29585,33072
13279,"Toombs, GA",27434,848653,30934,32617
13281,"Towns, GA",10611,375394,35378,29288
13283,"Treutlen, GA",6825,168480,24686,26630
13285,"Troup, GA",67764,2196202,32410,40001
13287,"Turner, GA",8875,260082,29305,28745
13289,"Twiggs, GA",8779,283273,32267,33873
13291,"Union, GA",21134,661097,31281,30793
13293,"Upson, GA",26977,737726,27346,32161
13295,"Walker, GA",68848,1876130,27250,31319
13297,"Walton, GA",84580,2895675,34236,35619
13299,"Ware, GA",36474,980357,26878,34837
13301,"Warren, GA",5721,156898,27425,29713
13303,"Washington, GA",21111,611154,28950,33655
13305,"Wayne, GA",30327,883060,29118,38068
13307,"Webster, GA",2791,68585,24574,31489
13309,"Wheeler, GA",7939,137662,17340,31450
13311,"White, GA",27273,702475,25757,30002
13313,"Whitfield, GA",103184,2893666,28044,38229
13315,"Wilcox, GA",9298,235240,25300,31681
13317,"Wilkes, GA",10211,294747,28866,29511
13319,"Wilkinson, GA",9444,270026,28592,45907
13321,"Worth, GA",21921,700254,31944,30039
15001,"Hawaii, HI",186738,5928662,31749,36495
15003,"Honolulu, HI",963607,44926809,46624,46110
15007,"Kauai, HI",67701,2472457,36520,38809
15901,"Maui + Kalawao, HI",156764,5686143,36272,38996
16001,"Ada, ID",400842,15927071,39734,42223
16003,"Adams, ID",3977,111914,28140,30284
16005,"Bannock, ID",83691,2411839,28818,33701
16007,"Bear Lake, ID",6001,180861,30138,27144
16009,"Benewah, ID",9209,293820,31906,33723
16011,"Bingham, ID",45952,1263678,27500,32464
16013,"Blaine, ID",21199,1260599,59465,36988
16015,"Boise, ID",7025,257349,36633,25662
16017,"Bonner, ID",40808,1282726,31433,32564
16019,"Bonneville, ID",105772,3700888,34989,33840
16021,"Boundary, ID",10804,288619,26714,31719
16023,"Butte, ID",2822,99631,35305,81228
16025,"Camas, ID",1124,43455,38661,34029
16027,"Canyon, ID",191694,4519099,23575,32319
16029,"Caribou, ID",6850,231590,33809,45405
16031,"Cassia, ID",23186,800269,34515,30915
16033,"Clark, ID",949,51807,54591,38335
16035,"Clearwater, ID",8702,265348,30493,33083
16037,"Custer, ID",4333,148126,34186,37384
16039,"Elmore, ID",26346,926673,35173,38688
16041,"Franklin, ID",12850,350350,27265,25030
16043,"Fremont (includes Yellowstone Park), ID",13128,322228,24545,29502
16045,"Gem, ID",16665,448209,26895,27778
16047,"Gooding, ID",15475,637249,41179,31638
16049,"Idaho, ID",16446,457646,27827,33202
16051,"Jefferson, ID",26301,726233,27612,27448
16053,"Jerome, ID",22682,715449,31543,32969
16055,"Kootenai, ID",141132,4646516,32923,33728
16057,"Latah, ID",37704,1199314,31809,30293
16059,"Lemhi, ID",7967,244847,30733,28760
16061,"Lewis, ID",3822,166526,43570,27058
16063,"Lincoln, ID",5186,158346,30533,30791
16065,"Madison, ID",37864,726367,19184,28245
16067,"Minidoka, ID",20155,634594,31486,32126
16069,"Nez Perce, ID",39543,1427865,36109,36481
16071,"Oneida, ID",4215,118154,28032,24955
16073,"Owyhee, ID",11438,360761,31541,29366
16075,"Payette, ID",22624,653121,28869,33628
16077,"Power, ID",7766,240246,30936,36210
16079,"Shoshone, ID",12672,419407,33097,38684
16081,"Teton, ID",10166,261320,25705,30686
16083,"Twin Falls, ID",78005,2506629,32134,30588
16085,"Valley, ID",9638,346412,35942,30831
16087,"Washington, ID",10255,283085,27605,27427
17001,"Adams, IL",67159,2575226,38345,37316
17003,"Alexander, IL",8036,216515,26943,36180
17005,"Bond, IL",17727,614103,34642,35237
17007,"Boone, IL",54367,1807789,33252,44201
17009,"Brown, IL",6878,196822,28616,41188
17011,"Bureau, IL",34606,1303349,37663,37137
17013,"Calhoun, IL",5048,169677,33613,24541
17015,"Carroll, IL",15163,544051,35880,33017
17017,"Cass, IL",13579,461525,33988,33758
17019,"Champaign, IL",201685,7223403,35815,39550
17021,"Christian, IL",34865,1344704,38569,40158
17023,"Clark, IL",16161,572555,35428,33148
17025,"Clay, IL",13728,454104,33079,34377
17027,"Clinton, IL",37956,1489449,39241,32737
17029,"Coles, IL",53916,1772568,32876,35028
17031,"Cook, IL",5217080,244871968,46937,57912
17033,"Crawford, IL",19857,754355,37989,40886
17035,"Cumberland, IL",11096,398348,35900,30629
17037,"DeKalb, IL",104743,3311084,31612,36439
17039,"De Witt, IL",16578,647598,39064,45120
17041,"Douglas, IL",19836,785708,39610,39304
17043,"DuPage, IL",923222,50323760,54509,57638
17045,"Edgar, IL",18393,645552,35098,35736
17047,"Edwards, IL",6618,208813,31552,35919
17049,"Effingham, IL",34280,1298583,37882,35186
17051,"Fayette, IL",22133,630297,28478,31764
17053,"Ford, IL",13976,621714,44484,35764
17055,"Franklin, IL",39627,1175174,29656,32882
17057,"Fulton, IL",36962,1246484,33723,30270
17059,"Gallatin, IL",5528,204903,37066,33750
17061,"Greene, IL",13798,435642,31573,29534
17063,"Grundy, IL",50130,1745988,34829,51632
17065,"Hamilton, IL",8425,292126,34674,32165
17067,"Hancock, IL",19031,669044,35155,29948
17069,"Hardin, IL",4281,124070,28982,31110
17071,"Henderson, IL",7196,265330,36872,28804
17073,"Henry, IL",50328,1882467,37404,31670
17075,"Iroquois, IL",29475,1155100,39189,32263
17077,"Jackson, IL",60365,2004889,33213,34613
17079,"Jasper, IL",9717,344482,35451,37486
17081,"Jefferson, IL",38713,1298653,33546,39139
17083,"Jersey, IL",22916,882332,38503,31302
17085,"Jo Daviess, IL",22712,964250,42456,32441
17087,"Johnson, IL",12654,327993,25920,35157
17089,"Kane, IL",520271,19402519,37293,44662
17091,"Kankakee, IL",113698,3771473,33171,37376
17093,"Kendall, IL",116631,4449601,38151,38725
17095,"Knox, IL",52917,1771198,33471,34566
17097,"Lake, IL",706222,39305689,55656,62395
17099,"LaSalle, IL",113518,4227115,37237,39763
17101,"Lawrence, IL",16745,479330,28625,32721
17103,"Lee, IL",35467,1234800,34815,38978
17105,"Livingston, IL",38885,1649404,42417,40120
17107,"Logan, IL",30140,1057728,35094,37143
17109,"McDonough, IL",32582,1060165,32538,34448
17111,"McHenry, IL",308944,12608405,40811,41638
17113,"McLean, IL",170556,7131939,41816,48173
17115,"Macon, IL",110730,4494616,40591,45149
17117,"Macoupin, IL",47687,1741058,36510,33135
17119,"Madison, IL",268459,10237196,38133,40439
17121,"Marion, IL",39335,1312046,33356,35705
17123,"Marshall, IL",12533,516261,41192,34059
17125,"Mason, IL",14485,552405,38136,33463
17127,"Massac, IL",15442,491720,31843,44719
17129,"Menard, IL",12703,527727,41543,30104
17131,"Mercer, IL",16363,664979,40639,30695
17133,"Monroe, IL",33306,1489193,44712,32522
17135,"Montgomery, IL",29848,979634,32821,36326
17137,"Morgan, IL",35543,1205688,33922,34940
17139,"Moultrie, IL",14824,553870,37363,34099
17141,"Ogle, IL",53115,1898387,35741,42361
17143,"Peoria, IL",186834,8477686,45375,47922
17145,"Perry, IL",22264,590894,26540,33333
17147,"Piatt, IL",16675,808420,48481,32843
17149,"Pike, IL",16398,540458,32959,29524
17151,"Pope, IL",4370,120533,27582,31614
17153,"Pulaski, IL",6046,197630,32688,37555
17155,"Putnam, IL",5968,235185,39408,47700
17157,"Randolph, IL",33361,990236,29682,35903
17159,"Richland, IL",16230,507884,31293,32425
17161,"Rock Island, IL",147556,5774185,39132,53474
17163,"St. Clair, IL",270259,9913102,36680,44233
17165,"Saline, IL",24981,829713,33214,39359
17167,"Sangamon, IL",198844,8602169,43261,45438
17169,"Schuyler, IL",7479,265989,35565,38337
17171,"Scott, IL",5271,187829,35634,34102
17173,"Shelby, IL",22212,788206,35486,31905
17175,"Stark, IL",5667,237278,41870,32848
17177,"Stephenson, IL",47563,1758882,36980,39535
17179,"Tazewell, IL",135661,5685466,41909,57809
17181,"Union, IL",17708,553780,31273,32374
17183,"Vermilion, IL",81509,2658710,32619,38842
17185,"Wabash, IL",11834,411247,34751,33472
17187,"Warren, IL",17818,626193,35144,31399
17189,"Washington, IL",14533,574493,39530,36973
17191,"Wayne, IL",16651,563252,33827,31881
17193,"White, IL",14663,556863,37977,36290
17195,"Whiteside, IL",58388,2178196,37306,36327
17197,"Will, IL",681545,28937682,42459,43502
17199,"Williamson, IL",66622,2243416,33674,36487
17201,"Winnebago, IL",293993,10106551,34377,42227
17203,"Woodford, IL",38861,1663659,42811,34620
18001,"Adams, IN",34370,1016197,29566,32319
18003,"Allen, IN",358327,12612682,35199,40730
18005,"Bartholomew, IN",77870,3087168,39645,46192
18007,"Benton, IN",8853,355087,40109,33045
18009,"Blackford, IN",12594,383973,30489,32076
18011,"Boone, IN",57481,3045079,52975,38837
18013,"Brown, IN",15099,541489,35863,25138
18015,"Carroll, IN",20031,662270,33062,31622
18017,"Cass, IN",38828,1228844,31648,34100
18019,"Clark, IN",111570,3781998,33898,36129
18021,"Clay, IN",26894,833102,30977,31339
18023,"Clinton, IN",33104,1061830,32076,36575
18025,"Crawford, IN",10658,296501,27820,28034
18027,"Daviess, IN",31978,1054938,32989,32018
18029,"Dearborn, IN",50113,1772817,35376,37020
18031,"Decatur, IN",25944,891284,34354,37154
18033,"DeKalb, IN",42462,1352983,31863,41978
18035,"Delaware, IN",117660,3549132,30164,33570
18037,"Dubois, IN",42199,1718263,40718,37281
18039,"Elkhart, IN",198941,6392262,32131,39023
18041,"Fayette, IN",24285,694306,28590,32913
18043,"Floyd, IN",74989,3015966,40219,36398
18045,"Fountain, IN",17213,574601,33382,32087
18047,"Franklin, IN",23041,842394,36561,29031
18049,"Fulton, IN",20872,652964,31284,34094
18051,"Gibson, IN",33505,1174894,35066,44197
18053,"Grant, IN",69793,2243195,32141,37143
18055,"Greene, IN",32895,1021692,31059,30069
18057,"Hamilton, IN",282810,14656275,51824,47063
18059,"Hancock, IN",70529,3083129,43714,39028
18061,"Harrison, IN",39336,1263538,32122,32182
18063,"Hendricks, IN",147979,5355001,36188,35277
18065,"Henry, IN",49264,1439199,29214,32750
18067,"Howard, IN",82800,2671738,32267,43811
18069,"Huntington, IN",37211,1199119,32225,34036
18071,"Jackson, IN",42966,1415328,32941,36996
18073,"Jasper, IN",33416,1203381,36012,34811
18075,"Jay, IN",21310,657659,30862,31736
18077,"Jefferson, IN",32249,963343,29872,34882
18079,"Jennings, IN",28196,886351,31435,35357
18081,"Johnson, IN",141656,5180300,36570,33911
18083,"Knox, IN",38500,1398030,36312,35321
18085,"Kosciusko, IN",77336,2903294,37541,44333
18087,"Lagrange, IN",37382,893320,23897,33894
18089,"Lake, IN",495558,17268557,34847,44216
18091,"LaPorte, IN",111374,3525015,31650,36669
18093,"Lawrence, IN",46195,1441517,31205,34090
18095,"Madison, IN",131235,3992335,30421,34364
18097,"Marion, IN",911296,34910486,38309,49758
18099,"Marshall, IN",47050,1512050,32137,34863
18101,"Martin, IN",10332,344860,33378,62052
18103,"Miami, IN",36611,988480,27000,34618
18105,"Monroe, IN",139799,4336682,31021,34524
18107,"Montgomery, IN",38441,1270279,33045,38582
18109,"Morgan, IN",69464,2614178,37634,33352
18111,"Newton, IN",14161,468082,33054,33525
18113,"Noble, IN",47553,1444587,30378,34425
18115,"Ohio, IN",6065,219800,36241,31717
18117,"Orange, IN",19969,599209,30007,32168
18119,"Owen, IN",21499,645156,30009,34871
18121,"Parke, IN",17237,485770,28182,28320
18123,"Perry, IN",19354,585508,30253,36704
18125,"Pike, IN",12728,401245,31525,46338
18127,"Porter, IN",165537,7117866,42999,40075
18129,"Posey, IN",25720,1047589,40731,49543
18131,"Pulaski, IN",13363,468655,35071,35258
18133,"Putnam, IN",37917,1206423,31817,31435
18135,"Randolph, IN",26105,855542,32773,33398
18137,"Ripley, IN",28759,864347,30055,42574
18139,"Rush, IN",17287,642646,37175,33209
18141,"St. Joseph, IN",266700,9678196,36289,39356
18143,"Scott, IN",23987,672627,28041,31568
18145,"Shelby, IN",44337,1568487,35376,37638
18147,"Spencer, IN",20961,710713,33906,34684
18149,"Starke, IN",23199,645954,27844,29069
18151,"Steuben, IN",34028,1064530,31284,31266
18153,"Sullivan, IN",21356,623055,29175,34511
18155,"Switzerland, IN",10569,300528,28435,31765
18157,"Tippecanoe, IN",174724,5446559,31172,39818
18159,"Tipton, IN",15788,594117,37631,37867
18161,"Union, IN",7513,251368,33458,29163
18163,"Vanderburgh, IN",180305,6961186,38608,40287
18165,"Vermillion, IN",16231,546415,33665,45525
18167,"Vigo, IN",108182,3425736,31666,36097
18169,"Wabash, IN",32608,1091344,33469,32114
18171,"Warren, IN",8431,303159,35958,34049
18173,"Warrick, IN",60275,2515029,41726,39679
18175,"Washington, IN",28147,831565,29544,31586
18177,"Wayne, IN",68643,2121700,30909,34504
18179,"Wells, IN",27734,951867,34321,34914
18181,"White, IN",24694,863855,34982,33356
18183,"Whitley, IN",33392,1133917,33958,36668
19001,"Adair, IA",7527,303523,40325,30156
19003,"Adams, IA",4004,174385,43553,28302
19005,"Allamakee, IA",14274,507983,35588,29328
19007,"Appanoose, IA",12797,379257,29636,29392
19009,"Audubon, IA",6034,317159,52562,30407
19011,"Benton, IA",26092,1107134,42432,32012
19013,"Black Hawk, IA",131549,4927973,37461,39335
19015,"Boone, IA",26255,1074365,40920,36187
19017,"Bremer, IA",24281,1047892,43157,34729
19019,"Buchanan, IA",20923,820018,39192,31166
19021,"Buena Vista, IA",20406,846156,41466,32265
19023,"Butler, IA",14939,680229,45534,31000
19025,"Calhoun, IA",9626,471347,48966,29232
19027,"Carroll, IA",20861,942025,45157,32195
19029,"Cass, IA",13817,600635,43471,31124
19031,"Cedar, IA",18400,797660,43351,31040
19033,"Cerro Gordo, IA",43938,1811347,41225,35529
19035,"Cherokee, IA",12069,546150,45252,31316
19037,"Chickasaw, IA",12449,540854,43446,32652
19039,"Clarke, IA",9356,301774,32255,31218
19041,"Clay, IA",16590,741293,44683,34839
19043,"Clayton, IA",18014,696462,38662,31494
19045,"Clinton, IA",49015,1928254,39340,34096
19047,"Crawford, IA",17277,740196,42843,33647
19049,"Dallas, IA",69444,3315258,47740,47320
19051,"Davis, IA",8787,239484,27254,28931
19053,"Decatur, IA",8284,223742,27009,25017
19055,"Delaware, IA",17658,739187,41861,33647
19057,"Des Moines, IA",40169,1561339,38869,36072
19059,"Dickinson, IA",16899,771952,45680,30958
19061,"Dubuque, IA",94648,3680443,38886,37603
19063,"Emmet, IA",10104,400473,39635,31620
19065,"Fayette, IA",20973,777563,37074,28996
19067,"Floyd, IA",16070,613659,38187,33555
19069,"Franklin, IA",10730,539836,50311,34692
19071,"Fremont, IA",7367,321061,43581,38421
19073,"Greene, IA",9285,435985,46956,33548
19075,"Grundy, IA",12459,620248,49783,35900
19077,"Guthrie, IA",10901,457525,41971,32870
19079,"Hamilton, IA",15538,713896,45945,34649
19081,"Hancock, IA",11287,495828,43929,35775
19083,"Hardin, IA",17426,799478,45878,32793
19085,"Harrison, IA",14828,621073,41885,32184
19087,"Henry, IA",20284,660470,32561,33905
19089,"Howard, IA",9565,386350,40392,30911
19091,"Humboldt, IA",9802,445621,45462,32933
19093,"Ida, IA",7086,372408,52555,35834
19095,"Iowa, IA",16320,661842,40554,32554
19097,"Jackson, IA",19796,714618,36099,28393
19099,"Jasper, IA",36547,1259318,34457,32311
19101,"Jefferson, IA",16815,564035,33544,32344
19103,"Johnson, IA",133038,5500965,41349,38538
19105,"Jones, IA",20608,690742,33518,31476
19107,"Keokuk, IA",10378,406557,39175,29910
19109,"Kossuth, IA",15396,805679,52330,33704
19111,"Lee, IA",35621,1169320,32827,37166
19113,"Linn, IA",213875,9277439,43378,44928
19115,"Louisa, IA",11369,403696,35508,32693
19117,"Lucas, IA",8847,268075,30301,34103
19119,"Lyon, IA",11670,567672,48644,30545
19121,"Madison, IA",15779,596705,37816,30812
19123,"Mahaska, IA",22530,811365,36013,32631
19125,"Marion, IA",33335,1160812,34823,37336
19127,"Marshall, IA",40980,1492499,36420,37036
19129,"Mills, IA",14992,669746,44674,33532
19131,"Mitchell, IA",10783,493886,45802,33600
19133,"Monona, IA",9239,387778,41972,29124
19135,"Monroe, IA",8056,287437,35680,39864
19137,"Montgomery, IA",10640,402559,37834,33353
19139,"Muscatine, IA",42815,1631416,38104,41615
19141,"O'Brien, IA",14210,673722,47412,29762
19143,"Osceola, IA",6357,303471,47738,31454
19145,"Page, IA",15987,523030,32716,31398
19147,"Palo Alto, IA",9419,445775,47327,29498
19149,"Plymouth, IA",24896,1173709,47144,36964
19151,"Pocahontas, IA",7180,371035,51676,34084
19153,"Polk, IA",437399,19829971,45336,47006
19155,"Pottawattamie, IA",93518,3426457,36640,34099
19157,"Poweshiek, IA",18804,777717,41359,35868
19159,"Ringgold, IA",5119,165838,32397,28856
19161,"Sac, IA",10241,518962,50675,31155
19163,"Scott, IA",167095,7748606,46372,38343
19165,"Shelby, IA",12039,585033,48595,31103
19167,"Sioux, IA",33900,1433881,42297,31589
19169,"Story, IA",89663,3356023,37429,36196
19171,"Tama, IA",17695,683284,38615,30765
19173,"Taylor, IA",6305,267521,42430,30206
19175,"Union, IA",12545,443326,35339,31661
19177,"Van Buren, IA",7510,225726,30057,32794
19179,"Wapello, IA",35421,1143982,32297,34055
19181,"Warren, IA",46732,1892467,40496,32023
19183,"Washington, IA",21855,892502,40837,29943
19185,"Wayne, IA",6309,195763,31029,28575
19187,"Webster, IA",37660,1486329,39467,36293
19189,"Winnebago, IA",10789,404667,37507,30198
19191,"Winneshiek, IA",21024,829848,39471,31224
19193,"Woodbury, IA",102509,3559689,34726,33988
19195,"Worth, IA",7544,298146,39521,30670
19197,"Wright, IA",13068,654758,50104,35017
20001,"Allen, KS",13331,463787,34790,30335
20003,"Anderson, KS",8070,269855,33439,28609
20005,"Atchison, KS",16793,528958,31499,34124
20007,"Barber, KS",4888,207879,42528,30034
20009,"Barton, KS",27841,1079824,38785,35309
20011,"Bourbon, KS",14985,459935,30693,30698
20013,"Brown, KS",10010,410432,41002,32526
20015,"Butler, KS",65817,2481133,37697,33058
20017,"Chase, KS",2817,145022,51481,26574
20019,"Chautauqua, KS",3584,127839,35669,25050
20021,"Cherokee, KS",21385,728885,34084,34057
20023,"Cheyenne, KS",2718,115568,42519,29499
20025,"Clark, KS",2143,75979,35455,29548
20027,"Clay, KS",8573,382847,44657,28484
20029,"Cloud, KS",9365,332594,35515,27259
20031,"Coffey, KS",8533,396928,46517,52219
20033,"Comanche, KS",1884,68587,36405,25413
20035,"Cowley, KS",36272,1196317,32982,33131
20037,"Crawford, KS",39220,1158643,29542,30706
20039,"Decatur, KS",2915,141917,48685,25017
20041,"Dickinson, KS",19739,748297,37910,30672
20043,"Doniphan, KS",7945,257131,32364,31662
20045,"Douglas, KS",112211,3745526,33379,32828
20047,"Edwards, KS",3020,167834,55574,33685
20049,"Elk, KS",2811,95851,34099,23507
20051,"Ellis, KS",28742,1194297,41552,33252
20053,"Ellsworth, KS",6483,227715,35125,31254
20055,"Finney, KS",37083,1239191,33417,33975
20057,"Ford, KS",34568,1116854,32309,34330
20059,"Franklin, KS",25931,878668,33885,34421
20061,"Geary, KS",35323,1462688,41409,50824
20063,"Gove, KS",2697,128583,47676,25539
20065,"Graham, KS",2641,150775,57090,31213
20067,"Grant, KS",7964,308897,38787,40157
20069,"Gray, KS",6113,288005,47114,32339
20071,"Greeley, KS",1258,79882,63499,31763
20073,"Greenwood, KS",6644,228798,34437,29170
20075,"Hamilton, KS",2666,115278,43240,34268
20077,"Harper, KS",5993,277807,46355,31709
20079,"Harvey, KS",34846,1332984,38254,34527
20081,"Haskell, KS",4285,265752,62019,37184
20083,"Hodgeman, KS",1966,81290,41348,30304
20085,"Jackson, KS",13433,479040,35661,29467
20087,"Jefferson, KS",18941,658752,34779,29805
20089,"Jewell, KS",3096,152979,49412,27037
20091,"Johnson, KS",552991,31271376,56550,50037
20093,"Kearny, KS",3987,144913,36346,30149
20095,"Kingman, KS",7853,337814,43017,32083
20097,"Kiowa, KS",2549,111649,43801,26832
20099,"Labette, KS",21511,753514,35029,31709
20101,"Lane, KS",1749,70053,40053,28990
20103,"Leavenworth, KS",77176,2651799,34360,52209
20105,"Lincoln, KS",3215,139252,43313,27670
20107,"Linn, KS",9612,301647,31382,40068
20109,"Logan, KS",2783,137694,49477,28200
20111,"Lyon, KS",33764,995811,29493,30955
20113,"McPherson, KS",29241,1212247,41457,36644
20115,"Marion, KS",12538,441936,35248,27145
20117,"Marshall, KS",10005,466228,46600,33772
20119,"Meade, KS",4531,204255,45079,30937
20121,"Miami, KS",32715,1378303,42131,33863
20123,"Mitchell, KS",6295,272691,43319,30934
20125,"Montgomery, KS",34911,1191624,34133,32943
20127,"Morris, KS",5888,210362,35727,29480
20129,"Morton, KS",3198,168428,52667,35382
20131,"Nemaha, KS",10113,492962,48745,30860
20133,"Neosho, KS",16449,527065,32042,31810
20135,"Ness, KS",3120,138238,44307,34313
20137,"Norton, KS",5635,224548,39849,32037
20139,"Osage, KS",16306,518650,31807,25405
20141,"Osborne, KS",3847,169358,44023,27585
20143,"Ottawa, KS",6119,204979,33499,27536
20145,"Pawnee, KS",7011,246701,35188,32139
20147,"Phillips, KS",5555,247765,44602,29911
20149,"Pottawatomie, KS",21920,791996,36131,35455
20151,"Pratt, KS",9676,431670,44612,32947
20153,"Rawlins, KS",2512,161235,64186,30353
20155,"Reno, KS",64607,2173480,33642,32628
20157,"Republic, KS",4907,186169,37939,26003
20159,"Rice, KS",10076,318949,31654,30948
20161,"Riley, KS",72997,3422850,46890,33232
20163,"Rooks, KS",5182,193032,37250,31169
20165,"Rush, KS",3238,120919,37344,29795
20167,"Russell, KS",6956,252320,36274,31627
20169,"Saline, KS",55844,2228710,39910,35072
20171,"Scott, KS",4910,185929,37867,35214
20173,"Sedgwick, KS",501076,19368100,38653,43891
20175,"Seward, KS",23328,714284,30619,35550
20177,"Shawnee, KS",178941,6963130,38913,41793
20179,"Sheridan, KS",2552,156604,61365,32821
20181,"Sherman, KS",6054,306346,50602,28446
20183,"Smith, KS",3834,174937,45628,26367
20185,"Stafford, KS",4371,191218,43747,27450
20187,"Stanton, KS",2250,101723,45210,37249
20189,"Stevens, KS",5613,220557,39294,35263
20191,"Sumner, KS",23787,943168,39651,32440
20193,"Thomas, KS",7977,345419,43302,29141
20195,"Trego, KS",2930,110614,37752,29594
20197,"Wabaunsee, KS",7026,241896,34429,26343
20199,"Wallace, KS",1527,99883,65411,28717
20201,"Washington, KS",5845,230431,39424,25908
20203,"Wichita, KS",2276,103792,45603,37723
20205,"Wilson, KS",9300,302572,32535,32994
20207,"Woodson, KS",3292,93693,28461,28251
20209,"Wyandotte, KS",158224,4562495,28836,44773
21001,"Adair, KY",18686,476954,25525,26616
21003,"Allen, KY",20140,565696,28088,29793
21005,"Anderson, KY",21644,672003,31048,32365
21007,"Ballard, KY",8253,298993,36228,49695
21009,"Barren, KY",42269,1231208,29128,31583
21011,"Bath, KY",11742,292673,24925,28571
21013,"Bell, KY",28725,736973,25656,30863
21015,"Boone, KY",121737,4346488,35704,41654
21017,"Bourbon, KY",19998,610010,30504,34081
21019,"Boyd, KY",49466,1652435,33405,43324
21021,"Boyle, KY",28550,876097,30686,34588
21023,"Bracken, KY",8513,259636,30499,30477
21025,"Breathitt, KY",13842,388797,28088,32550
21027,"Breckinridge, KY",20256,555105,27404,28117
21029,"Bullitt, KY",75109,2293316,30533,31878
21031,"Butler, KY",12827,340158,26519,30915
21033,"Caldwell, KY",12973,393447,30328,29886
21035,"Calloway, KY",37544,1122163,29889,29178
21037,"Campbell, KY",90940,3413061,37531,35161
21039,"Carlisle, KY",5048,162726,32236,24057
21041,"Carroll, KY",11013,351810,31945,44340
21043,"Carter, KY",27586,697830,25297,28698
21045,"Casey, KY",15909,389696,24495,25725
21047,"Christian, KY",73591,2359377,32061,51238
21049,"Clark, KY",35537,1196186,33660,35978
21051,"Clay, KY",21720,525740,24205,33501
21053,"Clinton, KY",10201,269551,26424,26787
21055,"Crittenden, KY",9336,267772,28682,27921
21057,"Cumberland, KY",6832,178344,26104,27379
21059,"Daviess, KY",97234,3427134,35246,34430
21061,"Edmonson, KY",12090,310329,25668,28820
21063,"Elliott, KY",7707,149719,19426,27180
21065,"Estill, KY",14666,352614,24043,29738
21067,"Fayette, KY",301569,12047565,39950,41633
21069,"Fleming, KY",14512,358446,24700,28540
21071,"Floyd, KY",39207,1226004,31270,36645
21073,"Franklin, KY",49393,1782630,36091,39616
21075,"Fulton, KY",6755,207710,30749,31053
21077,"Gallatin, KY",8612,228622,26547,37757
21079,"Garrard, KY",16885,441448,26144,27596
21081,"Grant, KY",24816,738090,29743,30738
21083,"Graves, KY",37519,1104149,29429,30658
21085,"Grayson, KY",25957,657460,25329,28359
21087,"Green, KY",11220,296448,26421,26311
21089,"Greenup, KY",36865,1341570,36391,35849
21091,"Hancock, KY",8572,260930,30440,56021
21093,"Hardin, KY",107456,4177892,38880,43995
21095,"Harlan, KY",29060,820095,28221,40276
21097,"Harrison, KY",18777,540359,28778,34159
21099,"Hart, KY",18235,457546,25092,29486
21101,"Henderson, KY",46406,1499439,32311,35954
21103,"Henry, KY",15443,477029,30890,31300
21105,"Hickman, KY",4784,181960,38035,26266
21107,"Hopkins, KY",46909,1505709,32099,38193
21109,"Jackson, KY",13443,281272,20923,28252
21111,"Jefferson, KY",746906,31241331,41828,45844
21113,"Jessamine, KY",49046,1547092,31544,34062
21115,"Johnson, KY",23396,649540,27763,31795
21117,"Kenton, KY",160406,6451442,40219,44516
21119,"Knott, KY",16289,446746,27426,42492
21121,"Knox, KY",31888,827456,25949,30614
21123,"Larue, KY",14315,522120,36474,26341
21125,"Laurel, KY",59355,1607429,27082,32739
21127,"Lawrence, KY",16035,426586,26603,35350
21129,"Lee, KY",7817,180714,23118,29385
21131,"Leslie, KY",11233,324097,28852,39398
21133,"Letcher, KY",24446,707510,28942,40516
21135,"Lewis, KY",13878,294918,21251,26421
21137,"Lincoln, KY",24731,623525,25212,29415
21139,"Livingston, KY",9531,311397,32672,35504
21141,"Logan, KY",26792,844752,31530,35351
21143,"Lyon, KY",8317,238148,28634,27249
21145,"McCracken, KY",65864,2626100,39872,38409
21147,"McCreary, KY",18285,381092,20842,31658
21149,"McLean, KY",9527,311283,32674,30134
21151,"Madison, KY",84188,2414227,28677,32740
21153,"Magoffin, KY",13216,325191,24606,29805
21155,"Marion, KY",19982,552930,27671,32730
21157,"Marshall, KY",31308,1043039,33315,42547
21159,"Martin, KY",12751,332911,26109,42449
21161,"Mason, KY",17653,550039,31158,32967
21163,"Meade, KY",29562,1154841,39065,31984
21165,"Menifee, KY",6317,143727,22752,27364
21167,"Mercer, KY",21282,637285,29945,41784
21169,"Metcalfe, KY",10073,227385,22574,29773
21171,"Monroe, KY",10937,280827,25677,26813
21173,"Montgomery, KY",26743,740677,27696,32375
21175,"Morgan, KY",13943,311057,22309,31129
21177,"Muhlenberg, KY",31272,889041,28429,37050
21179,"Nelson, KY",43974,1454244,33071,33666
21181,"Nicholas, KY",7071,200335,28332,25246
21183,"Ohio, KY",24103,708320,29387,32767
21185,"Oldham, KY",60642,2708258,44660,36311
21187,"Owen, KY",10858,286704,26405,33301
21189,"Owsley, KY",4820,118539,24593,27040
21191,"Pendleton, KY",14698,410978,27961,34268
21193,"Perry, KY",28751,904436,31458,40659
